RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
70,3218,energi,NRG,-0.04,"$310,117",$2.62,"$57,366,546",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3218.png
71,1866,bytom,BTM,0.84,"$4,840,895",$0.057227,"$57,369,830",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1866.png
72,291,maidsafecoin,MAID,-2.07,"$442,168",$0.125025,"$56,580,155",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/291.png
73,2694,nexo,NEXO,2.54,"$10,938,107",$0.101342,"$56,751,268",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2694.png
74,693,verge,XVG,-0.27,"$1,237,484",$0.003453,"$55,265,974",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/693.png
75,1700,aeternity,AE,0.83,"$48,261,618",$0.186067,"$53,577,570",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1700.png
76,2405,iostoken,IOST,0.44,"$14,915,565",$0.004416,"$53,059,198",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2405.png
77,2447,crpt,CRPT,3.31,"$371,888",$0.612451,"$51,934,664",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2447.png
78,1320,ardor,ARDR,-1.00,"$2,309,399",$0.050388,"$50,337,849",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1320.png
79,4195,ftx-token,FTT,-1.41,"$2,430,388",$1.33,"$50,559,597",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4195.png
80,1230,steem,STEEM,-1.12,"$480,637",$0.138767,"$48,377,061",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1230.png
81,3871,newton,NEW,8.86,"$8,083,342",$0.003961,"$47,326,646",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3871.png
82,2469,zilliqa,ZIL,2.18,"$5,578,016",$0.005379,"$46,728,407",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2469.png
83,2130,enjin-coin,ENJ,3.23,"$1,621,724",$0.057757,"$45,316,716",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2130.png
84,2539,ren,REN,1.04,"$2,084,268",$0.055832,"$44,638,815",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2539.png
85,1455,golem-network-tokens,GNT,-2.64,"$2,244,175",$0.045546,"$44,637,452",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1455.png
86,2299,aelf,ELF,-4.03,"$9,752,965",$0.078634,"$42,814,676",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2299.png
87,1759,status,SNT,-1.08,"$182,880,948",$0.012321,"$42,759,476",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1759.png
88,2603,pundi-x,NPXS,-0.19,"$1,015,675",$0.000181,"$42,296,386",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2603.png
89,1414,zcoin,XZC,-0.82,"$4,626,249",$4.89,"$42,213,033",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1414.png
90,2874,aurora,AOA,-12.32,"$1,665,974",$0.006369,"$41,667,875",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2874.png
91,3701,rif-token,RIF,10.22,"$7,665,674",$0.083107,"$41,503,260",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3701.png
92,3829,nash-exchange,NEX,-6.96,"$2,072,960",$1.10,"$39,748,701",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3829.png
93,2830,seele,SEELE,-0.30,"$19,330,872",$0.053629,"$37,361,275",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2830.png
94,3724,solve,SOLVE,-1.82,"$1,599,615",$0.111683,"$36,567,632",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3724.png
95,2989,stasis-euro,EURS,-0.44,"$517,688",$1.12,"$35,686,153",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2989.png
96,4066,chiliz,CHZ,-3.94,"$7,950,627",$0.009883,"$35,626,139",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4066.png
97,2137,electroneum,ETN,1.44,"$103,286",$0.003602,"$35,503,523",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2137.png
98,2772,digitex-futures,DGTX,-1.55,"$994,314",$0.045499,"$35,063,586",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2772.png
99,1923,tierion,TNT,0.81,"$1,221,869",$0.081425,"$34,889,140",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1923.png
100,3890,matic-network,MATIC,8.71,"$24,576,533",$0.015076,"$33,425,905",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3890.png
1,1,bitcoin,BTC,-0.25,"$15,886,092,191",$8224.73,"$148,092,776,346",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1.png
2,1027,ethereum,ETH,-0.03,"$6,870,813,549",$175.16,"$18,960,523,578",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1027.png
3,52,ripple,XRP,2.62,"$1,708,444,940",$0.299950,"$12,970,630,704",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/52.png
4,1831,bitcoin-cash,BCH,3.74,"$1,701,498,271",$234.04,"$4,229,091,263",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1831.png
5,825,tether,USDT,0.07,"$19,440,581,320",$1.01,"$4,129,510,941",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/825.png
6,2,litecoin,LTC,1.03,"$2,748,696,541",$55.10,"$3,499,760,763",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2.png
7,1839,binance-coin,BNB,0.59,"$182,447,507",$18.31,"$2,848,525,217",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1839.png
8,1765,eos,EOS,0.73,"$1,719,402,297",$2.94,"$2,758,772,880",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1765.png
9,3602,bitcoin-sv,BSV,17.10,"$572,588,688",$111.88,"$1,997,660,945",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3602.png
10,512,stellar,XLM,1.61,"$195,930,182",$0.064219,"$1,286,675,907",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/512.png
11,1958,tron,TRX,1.07,"$769,084,322",$0.015668,"$1,044,774,494",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1958.png
12,2010,cardano,ADA,2.31,"$39,866,594",$0.040038,"$1,038,067,638",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2010.png
13,3957,unus-sed-leo,LEO,-1.31,"$6,749,849",$1.01,"$1,007,385,253",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3957.png
14,328,monero,XMR,1.98,"$99,228,785",$57.39,"$991,143,522",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/328.png
15,1975,chainlink,LINK,9.54,"$186,935,262",$2.73,"$955,648,638",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1975.png
16,2502,huobi-token,HT,-0.50,"$67,927,145",$3.41,"$798,400,559",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2502.png
17,1720,iota,MIOTA,2.38,"$7,458,895",$0.275111,"$764,678,862",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1720.png
18,131,dash,DASH,-0.56,"$232,145,030",$69.14,"$629,709,546",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/131.png
19,2011,tezos,XTZ,-1.53,"$11,432,093",$0.867658,"$572,978,700 ",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2011.png
20,3794,cosmos,ATOM,3.31,"$141,478,935",$2.98,"$568,732,893",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3794.png
21,1321,ethereum-classic,ETC,2.52,"$510,688,499",$4.63,"$529,915,791",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1321.png
22,1376,neo,NEO,2.26,"$240,821,008",$7.47,"$527,053,571",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1376.png
23,1518,maker,MKR,0.63,"$7,191,839",$499.69,"$499,692,588",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1518.png
24,3408,usd-coin,USDC,0.25,"$198,089,223",$1.00,"$477,853,886",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3408.png
25,3635,crypto-com-coin,CRO,1.06,"$11,845,074",$0.033726,"$371,297,484",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3635.png
26,873,nem,XEM,-1.13,"$30,784,186",$0.040210,"$361,893,540",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/873.png
27,74,dogecoin,DOGE,0.43,"$82,712,339",$0.002737,"$333,131,550",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/74.png
28,2566,ontology,ONT,2.87,"$83,378,605",$0.601210,"$322,159,036",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2566.png
